ICO;DATVZN;DATZAN;ICOP;ICON;HLSKNACE;SKNACE;FORMA;DRVLST;USORG;SNU;KATP;KATP13;SIDKRJ;SIDOKR;SIDOBEC;TYPJ;ESU2010;NAZOV;SNAZOV;PRIEZ;MENO;TITPRED;TITZA;SIDUL;SIDSUPCISLO;SIDORCISLO;SIDPSC;SIDPOSTA
35991241;01.01.2000;31.12.2500;;30232295;91010;;321;4;20;610;0;999;SK032;SK0321;SK0321508438;1110;13110;Univerzitná knižnica Univerzity Mateja Bela v Banskej Bystrici;Univerzitná knižnica UMB v B.Bystrici;Pažúrová;Helena;8;;Tajovského;;40;97401;Banská Bystrica 1
36106097;01.01.2000;01.01.2002;34005617;;49390;45200;501;4;29;101;0;999;SK023;SK0233;SK0233500933;9100;;Slovenská autobusová doprava Nitra, štátny podnik, odštepný závod Vráble;SAD Nitra, OZ Vráble;Korenči;Milan;1;;Štúrova;1046;97;95201;Vráble
36106101;01.01.2000;01.01.2002;34005501;;49390;;501;4;29;101;0;999;SK023;SK0236;SK0236504998;9100;;Slovenská autobusová doprava Nitra, š.p., odštepný závod Topoľčany;SAD Nitra, OZ Topoľčany;Lanc;Dezider;1;;Dopravná;1364;11;95501;Topoľčany 1
36106119;01.01.2000;01.01.2002;34005609;;49390;;501;4;29;101;0;999;SK023;SK0237;SK0237500968;9100;;Slovenská autobusová doprava Nitra, štátny podnik, odštepný závod Zlaté Moravce;SAD Nitra, š.p., OZ Zlaté Moravce;Farkaš;Ladislav;1;;Staničná;;27;95339;Zlaté Moravce 1
35998652;01.01.1999;31.12.2500;;42181810;91020;;331;4;18;610;12;10;SK032;SK0322;SK0322516643;1110;13110;Slovenské banské múzeum;Slovenské banské múzeum;Labuda;Jozef;8;51;Kammerhofská;;2;96901;Banská Štiavnica 1
37783025;01.07.1999;31.12.2009;;;85200;;321;4;20;610;0;999;SK041;SK0418;SK0418524778;1110;;Špeciálna základná škola;Špeciálna základná škola;;;;;Tehelná;;3;08271;Lipany nad Torysou
36234893;09.12.1999;31.12.2500;00213756;;25610;"47190; 46900; 45200; 46150";301;4;27;101;0;999;SK021;SK0212;SK0212503665;1110;13110;AGROKOV STS, štátny podnik, v likvidácii;AGROKOV STS, štátny podnik, v likvidácii;Ivančík;Daniel;1;;Matúškovská cesta;;874;92401;Galanta 1
31803008;22.05.1998;06.02.2003;;;;;321;4;20;610;0;999;SK010;SK0101;SK0101528595;1110;;Študentský domov a jedáleň Horský park;Študentský domov a jedáleň Horský park;;;;;Prokopa Veľkého;;41;81707;Bratislava 11
36060160;03.03.2000;31.12.2500;"31790917; 31794823; 31794777; 31790925";;84130;;321;4;27;610;11;999;SK010;SK0104;SK0104529389;1110;13110;Regionálna veterinárna a potravinová správa Bratislava - mesto;Reg. veterinárna a potr. správa Bratislava;;;;;Polianky;;8;84101;Bratislava 4
17147867;01.09.1991;06.02.2003;;;;56290;321;4;20;610;0;999;SK042;SK0422;SK0422598151;1110;;Riaditeľstvo študentských domovov a jedální Technickej univerzity v Košiciach;Riaditeľstvo študentských domovov a jedální;Porubänová;Viera;8;;B.Němcovej;;1;04001;Košice 1
