ICO;DATVZN;DATZAN;ICOP;ICON;HLSKNACE;SKNACE;FORMA;DRVLST;USORG;SNU;KATP;KATP13;SIDKRJ;SIDOKR;SIDOBEC;TYPJ;ESU2010;NAZOV;SNAZOV;PRIEZ;MENO;TITPRED;TITZA;SIDUL;SIDSUPCISLO;SIDORCISLO;SIDPSC;SIDPOSTA
51;05.06.1982;30.11.2002;;;1500;;331;4;20;101;0;999;SK023;SK0233;SK0233500411;1100;;Školský poľnohospodársky podnik SPU;Školský poľnohospodársky podnik SPU;Bitter;Ján;1;51;Kolíňany;;561;95178;Kolíňany
281;01.01.1972;08.08.2000;;;;;501;4;11;101;0;999;SK010;SK0106;SK0106508063;9100;;VOJENSKÉ LESY A MAJETKY, koncernový podnik;VOJENSKÉ LESY A MAJETKY, koncernový podnik;;;;;Zámocká;;9;90118;Malacky 1
418;01.01.1972;04.01.2006;;;;46900;301;4;11;101;0;999;SK022;SK0227;SK0227514268;1100;;Vojenský opravárenský podnik 015, š.p.;Vojenský opravárenský podnik 015, š.p.;Berák;Jozef;1;;Duklianska;;60;97271;Nováky
426;01.01.1972;31.12.2500;;;25400;"25610; 25620; 56109; 27200; 45200; 46900; 56290; 47910; 47190; 46190";301;4;18;101;0;999;SK042;SK0426;SK0426521698;1110;13110;Moldavský recyklačný podnik, š.p. Moldava nad Bodvou;Moldavský recyklačný podnik, š.p. Moldava;Keselica;Milan;1;;Obrancov mieru;;9;04516;Moldava nad Bodvou
469;01.01.1974;06.01.2006;;;;56290;301;4;11;101;0;999;SK022;SK0229;SK0229505820;1100;;Vojenský opravárenský podnik 027 Trenčín,štátny podnik;Vojenský opravárenský podnik 027 Trenčín,šp;Peter;Ivan;1;;Kasárenská;;8;91105;Trenčín 5
477;01.01.1972;31.12.2005;;;45200;"56290; 46180; 56109; 71200";301;4;11;101;0;999;SK041;SK0417;SK0417524140;1100;;Vojenský opravárenský podnik 028 Prešov, štátny podnik;Vojenský opravár. podnik 028 Prešov, š.p.;Pariči;Jozef;1;;Čapajevova;;40;08001;Prešov 1
523;01.01.1974;01.02.2006;;;;"47300; 77390; 56109; 52230; 56290; 52100";301;4;11;101;0;999;SK022;SK0229;SK0229505820;1100;;Letecké opravovne Trenčín, š.p.;Letecké opravovne Trenčín, š.p.;Mikle;Peter;16;;Legionárska;;160;91104;Trenčín 4
531;01.01.1974;06.11.2006;;;;"68200; 46900; 45200; 43340; 71200";301;4;11;101;0;999;SK032;SK0321;SK0321508438;1100;;LOBB, š.p.;LOBB, š.p.;Tury;Dušan;1;;Sládkovičova;;29;97405;Banská Bystrica 5
574;01.04.1979;16.07.2005;;;;;301;4;11;101;0;999;SK032;SK0321;SK0321508594;1100;;VOJENSKÝ KARTOGRAFICKÝ ÚSTAV,štátny podnik;VOJENSKÝ KARTOGRAFICKÝ ÚSTAV,štátny podnik;;;;;Harmanec;;13;97603;Harmanec
655;15.04.1991;13.09.2006;;;;46150;121;4;99;101;0;999;SK010;SK0102;SK0102529320;1100;;PETRIMEX, akciová spoločnosť;PETRIMEX, akciová spoločnosť;Kán;Vladimír;3;;Dr.Vladimíra Clementisa;;10;82602;Bratislava 29
2186;01.05.1988;31.12.2500;;686832;77120;77390;301;4;26;101;0;999;SK031;SK031B;SK031B517402;1100;11001;Zvl, projektový  inžiniersky  ústav;Zvl, projektový  inžiniersky  ústav;;;;;Kamenná;;19;01079;Žilina 1
2194;30.04.1974;31.12.2500;;686832;47210;;301;4;26;101;0;999;SK023;SK0231;SK0231501026;1110;13110;Zelenina Komárno, š.p.  v likvidácii;Zelenina Komárno, š.p.  v likvidácii;Rózsa;Zoltán;8;53;Bašta;;2;94551;Komárno 1
2437;01.05.1988;01.02.2003;;;;;331;4;26;101;0;999;SK010;SK0103;SK0103529346;1100;;Výskumný ústav zváračský;Výskumný ústav zváračský;;;;;Račianska;;71;83259;Bratislava 3
2551;01.05.1988;31.12.2500;;686832;71200;;321;4;26;610;7;999;SK010;SK0101;SK0101528595;1110;13110;Puncový úrad Slovenskej republiky;Puncový úrad Slovenskej republiky;;;;;Medená;;10;81456;Bratislava 1
2682;01.01.1991;31.12.2500;00157147;686832;68200;35110;301;4;26;101;2;10;SK010;SK0103;SK0103529346;1110;13110;Slovenský energetický podnik, š.p.v likvidácii;Slovenský energetický podnik, š.p.v likvid.;Olšavský;Emanuel;1;;Bojnická;;10;83104;Bratislava 3
2801;01.01.1976;31.12.2500;;686832;71200;;331;4;26;610;24;10;SK010;SK0102;SK0102529320;1110;13110;Slovenská inovačná a energetická agentúra;Slovenská inovačná a energetická agentúra;;;;;Bajkalská;;27;82799;Bratislava
2844;01.05.1988;14.10.2003;;;;;331;4;29;610;0;999;SK031;SK031B;SK031B517402;1110;;VÝSKUMNÝ ÚSTAV DOPRAVNÝ;VÝSKUMNÝ ÚSTAV DOPRAVNÝ;;;;;Veľký Diel;;3323;01139;Žilina 9
2879;01.05.1988;19.09.2000;;;;;501;4;29;101;0;999;SK031;SK0316;SK0316557358;9100;;Železnice SR - ŽOS Vrútky;Železnice SR - ŽOS Vrútky;;;;;DIELENSKÁ KRUŽNÁ;;2;03861;Vrútky
2895;07.02.1974;30.06.2011;;;81100;;321;4;3;610;0;999;SK010;SK0101;SK0101528595;1110;;Správa zariadení Úradu vlády SR;Správa zariadení Úradu vlády SR;;;;;Nám. Slobody;;1;81370;Bratislava 1
2968;01.05.1988;31.12.2500;;31364501;33120;;501;4;29;101;0;999;SK031;SK0316;SK0316557358;9100;11001;Železnice SR - MTH Vrútky;Železnice SR - MTH Vrútky;;;;;;;;03861;Vrútky
3239;01.08.1986;23.08.2000;;;47210;;501;4;26;101;0;999;SK042;SK042B;SK042B528447;9100;;Zelenina závod;Zelenina závod;;;;;;;;07701;Kráľovský Chlmec 1
3280;01.08.1986;23.08.2000;;;47210;;501;4;26;101;0;999;SK042;SK0428;SK0428525529;9100;;Zelenina závod;Zelenina závod;;;;;Šafárikova;;;04801;Rožňava 1
3328;13.06.1991;31.12.2500;00211915;30416094;84130;52230;321;4;29;610;24;999;SK010;SK0102;SK0102529320;1110;13110;Slovenská správa ciest;Slovenská správa ciest;Žembera;Roman;1;;Miletičova;;19;82619;Bratislava 29
3344;13.06.1991;26.01.2008;;;68200;;301;4;29;101;0;999;SK010;SK0102;SK0102529320;1100;;Slovenská plavba dunajská, š.p.;Slovenská plavba dunajská, š.p.;Buček;Pavel;1;;Prístavná;;10;82109;Bratislava 2
3361;13.06.1991;31.12.2013;;;84130;52220;321;4;29;610;0;999;SK010;SK0102;SK0102529320;1110;13110;Štátna plavebná správa;Štátna plavebná správa;Moravčík;Jozef;1;;Prístavná;;10;82109;Bratislava 2
3425;01.08.1986;23.09.2005;;;47210;;301;4;26;101;0;999;SK041;SK0417;SK0417524140;1100;;ZELENINA š.p. v likvidácii;ZELENINA š.p. v likvidácii;Klein;Štefan;1;;Jiráskova;;6;08005;Prešov 5
3484;01.05.1988;09.07.1998;;;;;501;4;29;101;0;999;SK010;SK0101;SK0101528595;9100;;Správa pôšt a telekomunikácií Bratislava,       š.p., odštepný závod Správa diaĺkových    kábl;Správa pôšt a telekomunikácií Bratislava,;;;;;Nám. Slobody;;6;81752;Bratislava 15
3794;01.05.1988;03.10.2000;;;;;501;4;29;101;0;999;SK042;SK0422;SK0422598186;9100;;Správa pôšt a telekomunikácií Bratislava, š.p., OZ Východoslovenské riaditeľstvo spojov;Správa pôšt a telekomunikácií Bratislava, š.;;;;;Poštova;;20;04221;Košice 1
3859;01.05.1988;09.07.1998;;;46240;;501;4;29;101;0;999;SK010;SK0103;SK0103529346;9100;;Správa pôšt a telekomunikácií Bratislava,       š.p., odštepný závod Technická ústredňa   spoj;Správa pôšt a telekomunikácií Bratislava,;;;;;Kukučínova;;52;83225;Bratislava 3
3964;01.01.1984;31.12.2500;;166197;72200;62020;331;4;32;610;11;20;SK010;SK0101;SK0101528595;1110;13110;INFOSTAT - Inštitút informatiky a štatistiky;INFOSTAT - Inštitút informatiky a štatistiky;Papp;Tibor;;53;Leškova;;16;81795;Bratislava 15
4197;01.08.1986;23.08.2000;;;47210;;501;4;26;101;0;999;SK042;SK0425;SK0425599824;9100;;Zelenina závod;Zelenina závod;;;;;Nižné Kapustníky;;;04232;Košice 1
5444;01.08.1986;12.05.2006;;;46150;;301;4;26;101;0;999;SK010;SK0103;SK0103529354;1100;;OVOCIE ZELENINA, š.p. v likvidácii;OVOCIE ZELENINA, š.p. v likvidácii;Jakubcová;Tatiana;16;;Na Pántoch;;1;83512;Bratislava 35
5525;23.05.1991;15.09.2007;;;47540;;121;4;26;101;0;999;SK010;SK0103;SK0103529346;1100;;STOPAS BRATISLAVA, a.s. v likvidácii;STOPAS BRATISLAVA, a.s. v likvidácii;Jakubcová;Tatiana;16;;Hattalova;;2;83103;Bratislava 3
6131;27.08.1974;12.10.2000;;;;;115;4;99;102;0;999;SK041;SK0417;SK0417524140;1100;;Agropodnik,spoločný podnik,projektovo-    inžinierska organizácia v likvidácii;Agropodnik,spoločný podnik,projektovo-    in;;;;;Pionierska;;31;08005;Prešov 5
7838;01.05.1988;31.12.2500;;686832;68200;"71200; 35300; 46900; 46190; 16100; 77390";301;4;26;610;11;20;SK032;SK0321;SK0321508438;1110;13110;Rudné bane, š.p.;Rudné bane, š.p.;Vágner;Peter;3;;Havranské;;11;97432;Banská Bystrica 1
7935;01.05.1988;22.11.2005;;;;;301;4;26;101;0;999;SK010;SK0103;SK0103529346;1100;;VÝSKUMNÝ ÚSTAV HUTNÍCKEJ KERAMIKY, š.p. v likvidácii;VÚ HUTNÍCKEJ KERAMIKY, š.p. v likvid.;Sochor;Jozef;1;;Račianska;;71;83249;Bratislava
8320;01.01.1980;22.11.2016;;;26110;;301;4;26;101;0;999;SK010;SK0103;SK0103529362;1100;11001;BRATISLAVSKÉ ELEKTROTECHNICKÉ ZÁVODY, štátny podnik, podnik v likvidácii;BEZ, štátny podnik v likvidácii;Bartek;Ján;1;;Rybničná;;40;83534;Bratislava 35
8486;01.01.1991;31.12.2500;;;27320;;121;4;26;101;0;999;SK010;SK0101;SK0101528595;1110;13110;Kábelovňa  Bratislava, a.s. v likvidácii;Kábelovňa  Bratislava, a.s. v likvidácii;Szabó;Ladislav;1;;Továrenská;;11;81261;Bratislava 1
9199;01.01.1986;31.12.2500;;686832;25620;;301;4;26;101;2;999;SK021;SK0217;SK0217506745;1110;13110;Trnavské automobilové závody, š.p. - v likvidácii;Trnavské automobilové závody, š.p. - v likv.;Balog;Milan;3;;Trnava;;;91701;Trnava 1
9598;01.08.1990;01.06.1993;;;;;301;4;26;101;0;999;SK021;SK0217;SK0217506745;1100;;Šmeral, š.p.;Šmeral, š.p.;;;;;Priemyselná;;10;91838;Trnava 1
10430;01.05.1988;08.06.2006;;;;;301;4;26;101;0;999;SK041;SK041D;SK041D544213;1100;;SANDRIK Hanušovce nad Topľou, š.p.;SANDRIK Hanušovce nad Topľou, š.p.;Vravec;Ján;1;;Hanušovce;;;09431;Hanušovce nad Topľou
10448;01.05.1988;31.12.2500;;151742;32110;"63110; 49410; 73110; 23700; 32120";301;4;15;101;23;90;SK032;SK032D;SK032D516970;1100;11001;Mincovňa Kremnica, štátny podnik;Mincovňa Kremnica, štátny podnik;Kalinec;Vlastimil;1;;Štefánikovo námestie;25;24;96701;Kremnica 1
10821;01.01.1981;15.11.2004;;;46510;;301;4;26;101;0;999;SK010;SK0105;SK0105529460;1100;;DATASYSTEM, š.p. v likvidácii;DATASYSTEM, š.p. v likvidácii;;;;;Budatínska;;30;85252;Bratislava 5
11037;01.08.1984;12.06.2003;;;;;321;4;62;610;0;999;SK021;SK0217;SK0217506745;1110;;Pedagogicko - psychologická poradňa;Pedagogicko - psychologická poradňa;;;;;M.Š.Trnavského;;2;91701;Trnava 1
11347;01.01.1984;06.11.2014;;;38320;"46150; 68200";301;4;26;101;0;999;SK010;SK0102;SK0102529320;1100;11001;KOVOŠROT Bratislava, štátny podnik;KOVOŠROT Bratislava, štátny podnik;Šmíd;Marián;1;;Jarabinková;;4;82109;Bratislava 2
11436;01.05.1988;31.12.2500;;686832;24340;;301;4;26;101;0;999;SK021;SK0213;SK0213507032;1100;11001;Drôtovňa, š.p.;Drôtovňa, š.p.;;;;;Mierová;;2317;92001;Hlohovec 1
11649;01.01.1984;25.10.2013;;;24450;;301;4;26;101;0;999;SK021;SK0212;SK0212504009;1100;11001;Niklová huta, š.p. v likvidácii;Niklová huta, š.p. v likvidácii;Náhlovský;Otakar;3;;Sereď;;;92613;Sereď 1
12769;01.01.1991;01.03.2007;;;23130;"43290; 68200; 71200; 56290";121;4;26;101;0;999;SK022;SK0229;SK0229506281;1100;;Skloobal, a.s.;Skloobal, a.s.;Szivós;Peter;1;;Železničná;207;9;91441;Nemšová
14478;01.01.1986;31.12.2500;;;87900;;321;4;20;610;11;999;SK021;SK0211;SK0211501514;1110;13110;Liečebno-výchovné sanatórium;Liečebno-výchovné sanatórium;Némethová;Renáta;16;;Čakany;;7;93040;Štvrtok na Ostrove
15199;01.01.1986;20.05.2002;;;77390;;301;4;26;101;0;999;SK042;SK0423;SK0423598224;1100;;Keramické závody š.p. v likvidácii;Keramické závody š.p. v likvidácii;Seres;Juraj;1;;Pražská;;2;04011;Košice 11
15326;01.01.1986;31.12.2500;;686832;23320;;301;4;26;101;0;999;SK010;SK0107;SK0107508179;1110;13110;Západoslovenské tehelne, š.p. - v likvidácii;Západoslovenské tehelne, š.p. - v likvidácii;Novák;Štefan;1;;Moyzesova;;2;90215;Pezinok 1
15342;01.01.1986;12.01.2001;;;;;301;4;26;101;0;999;SK031;SK031B;SK031B517402;1100;;Severoslovenské tehelne, š.p. v likvidácii;Severoslovenské tehelne, š.p. v likvidácii;Vadina;Jozef;1;51;Žilina;;;01048;Žilina 1
15351;01.01.1986;09.10.2002;;;;;301;4;26;101;0;999;SK032;SK0326;SK0326511218;1100;;Ipeľské tehelne Lučenec, š.p. v likvidácii;Ipeľské tehelne Lučenec, š.p. v likvidácii;Očovai;Ján;1;;M.Rázusa;;29;98421;Lučenec 1
15369;01.01.1986;08.07.2005;;;;;301;4;28;101;0;999;SK042;SK0422;SK0422598186;1100;;Východoslovenské tehelne š.p. v likvidácii;Východoslovenské tehelne š.p. v likvidácii;Kuca;Jozef;1;;Štúrova;;11;04001;Košice 1
15474;01.01.1986;31.12.2500;"00678601; 31611028; 00699497";;8110;"46150; 25620";301;4;28;101;0;10;SK031;SK031B;SK031B517402;1110;13110;"Stredoslovenské kameňolomy a štrkopiesky, š.p.""v likvidácii""";Stredoslovenské kameňolomy a štrkopiesky, š.;Rózsa;Zoltán;6;53;Orolská;;3;01031;Žilina 1
15482;01.01.1986;31.12.2500;00698644;;8110;46900;301;4;28;101;3;10;SK042;SK042A;SK042A526355;1110;13110;Východoslovenské kameňolomy a štrkopiesky š.p. v likvidácii;Východoslov.kameňolomy a štrk.š.p. v likv.;Olšavský;Emanuel;1;;Štefánikovo námestie;;4;05227;Spišská Nová Ves 1
15601;21.05.1991;31.12.2500;;686832;33120;;301;4;26;101;0;999;SK010;SK0102;SK0102529320;1100;11001;Montostroj, š.p.;Montostroj, š.p.;Géc;Ján;1;;Seberíniho;;1;82012;Bratislava 212
18546;01.01.1993;05.11.2004;17056381;;;;501;4;29;101;0;999;SK010;SK0101;SK0101528595;9100;;Slovenská pošta, š.p., Riaditeľstvo pôšt Bratislava;Slovenská pošta, š.p., Riad.pôšt;;;;;Nám. SNP;;35;81420;Bratislava 1
21288;01.01.1972;31.12.2500;;686832;47520;;301;4;26;101;0;10;SK010;SK0102;SK0102529320;1110;13110;Domáce potreby Bratislava š.p. v likvidácii;Domáce potreby Bratislava š.p. v likvidácii;Rózsa;Zoltán;8;53;Tomášikova;;14;82667;Bratislava 2
21296;01.01.1989;07.11.2007;;;47190;;301;4;26;101;0;999;SK032;SK032B;SK032B518158;1100;;Domáce potreby Banská Bystrica, š.p. v likvidácii;Domáce potreby Banská Bystrica, š.p. v likv.;Sedliak;Jozef;3;;Lieskovská cesta;;6;96001;Zvolen 1
21300;01.01.1972;31.12.2500;;;47590;;301;4;26;101;0;999;SK041;SK0417;SK0417524140;1110;13110;Domáce potreby š.p. v likvidácii;Domáce potreby š.p. v likvidácii;Balog;Milan;3;;Hviezdoslavova;;7;08001;Prešov 1
21393;01.01.1972;31.12.2500;;686832;47610;;301;4;26;101;0;999;SK010;SK0101;SK0101528595;1110;13110;Drobný tovar Bratislava, štátny podnik v likvidácii, v konkurze;Drobný tovar BA, š.p.v likvidácii,v konkurze;Baran;Róbert;1;;Panská;;9;81294;Bratislava
21407;01.01.1974;31.12.2500;;686832;47610;;301;4;26;101;0;999;SK031;SK031B;SK031B517402;1110;13110;Drobný tovar Banská Bystrica,š.p. v likvidácii;Drobný tovar Banská Bystrica,š.p. v likvidác;Szabó;Ladislav;1;;Oravská cesta;;3;01001;Žilina 1
21482;01.01.1989;02.12.2016;;;47789;;301;4;26;101;0;999;SK031;SK031B;SK031B517402;1110;13110;"Drogérie Žilina, štátny podnik ""v likvidácii""";Drogérie Žilina, štátny podnik v likvidácii;Rózsa;PhDr. Zoltán;71;53;Radlinského;;24;01001;Žilina 1
22047;01.06.1979;13.04.2011;;;55100;;301;4;26;101;0;999;SK010;SK0101;SK0101528595;1100;;INTERHOTEL Bratislava, š.p. v likvidácii;INTERHOTEL Bratislava, š.p. v likvidácii;Baran;Róbert;1;;Hviezdoslavovo nám.;;;81102;Bratislava 1
22063;01.05.1988;13.09.2000;;;;;501;4;29;101;0;999;SK010;SK0103;SK0103529346;9100;;Slovenská pošta, štátny podnik, Riaditeľstvo poštovej prepravy;Slovenská pošta, štátny podnik, Riaditeľstvo;;;;;Tomášikova;;54;83270;Bratislava 3
22080;01.06.1979;22.07.2003;;;55100;;301;4;26;101;0;999;SK031;SK0318;SK0318510998;1100;;INTERHOTEL RUŽOMBEROK, Š. P. v likvidácii;INTERHOTEL RUŽOMBEROK, Š. P. v likvidácii;Jakubcová;Tatiana;16;;ČERVENEJ ARMÁDY;;39;03421;Ružomberok 1
24147;01.01.1972;31.12.2500;;;21200;;301;4;26;101;0;999;SK021;SK0213;SK0213507032;1100;11001;Slovakofarma, š.p.;Slovakofarma, š.p.;;;;;Železničná;;12;92001;Hlohovec 1
27898;01.01.1986;18.04.2000;;;;;321;4;65;610;0;999;SK031;SK0316;SK0316512036;1110;;Okresné pedagogické stredisko;Okresné pedagogické stredisko;;;;;;;;03680;Martin 1
27979;25.02.1986;16.08.1996;;;85329;;321;4;20;610;0;999;SK032;SK032D;SK032D516970;1110;;STREDNÁ PRIEMYSELNÁ ŠKOLA ODEVNÁ PRE MLÁDEŽ S CHYBAMI SLUCHU;STREDNÁ PRIEMYSELNÁ ŠKOLA ODEVNÁ PRE MLÁDEŽ;;;;;Kutnohorská;;675;96701;Kremnica 1
27987;01.01.1986;31.12.2500;;;85322;"85200; 93290; 85100";321;4;20;610;12;999;SK032;SK032C;SK032C517097;1110;13110;Spojená škola;Spojená škola;Gažiová;Karina;17;;Školská;5;;96801;Nová Baňa
34991;01.01.1978;31.01.2000;;;;;331;4;21;610;0;999;SK010;SK0106;SK0106508063;1110;;Geriatrické centrum Malacky;Geriatrické centrum Malacky;;;;;Zámocká;;18;90101;Malacky
35106;01.12.1986;26.04.2013;;;33120;;301;4;27;101;0;999;SK010;SK0103;SK0103529346;1100;;Strojárne potravinárskeho priemyslu, š.p. v likvidácii;Strojárne potravinárskeho priemyslu, š.p. v;;;;;Stará Vajnorská cesta;;4;83255;Bratislava 3
37605;25.02.1986;31.12.2005;;;;;331;4;27;610;0;999;SK032;SK032B;SK032B518158;1110;;Ústav pre výchovu a vzdelávanie pracovníkov lesného a vodného hospodárstva Slovenskej republiky;Ústav pre výchovu a vzdelávanie pracovníkov;;;;;Sokolská;;19;96050;Zvolen 1
37869;01.01.1978;31.12.2500;00398136;;72190;72200;321;4;99;610;21;999;SK010;SK0101;SK0101528595;1110;13110;Slovenská akadémia vied;Slovenská akadémia vied;Luby;Štefan;1;52;Štefánikova;;49;81438;Bratislava 1
38695;01.01.1978;01.04.2002;;;91010;72200;321;4;12;610;0;999;SK010;SK0101;SK0101528595;1110;;Slovenský národný archív;Slovenský národný archív;;;;;Drotárska cesta;;42;81701;Bratislava 1
39471;01.07.1978;31.12.2500;;;84230;;321;4;13;610;22;999;SK010;SK0101;SK0101528595;1110;13110;Okresný súd Bratislava I;Okresný súd Bratislava I;;;;;Záhradnícka;;10;81244;Bratislava 1
39489;01.07.1978;31.12.2500;;;84230;;321;4;13;610;21;999;SK010;SK0102;SK0102529320;1110;13110;Okresný súd Bratislava II;Okresný súd Bratislava II;;;;;Drieňová;;5;82702;Bratislava 2
39501;01.07.1978;31.12.2500;31769063;;84230;;321;4;13;610;21;999;SK010;SK0103;SK0103529346;1110;13110;Okresný súd Bratislava III;Okresný súd Bratislava III;Molnár;Richard;3;;Námestie Biely kríž;;7;83607;Bratislava 3
39535;01.07.1978;31.12.2500;31780458;;84230;;321;4;13;610;12;999;SK010;SK0104;SK0104529389;1110;13110;Okresný súd Bratislava IV;Okresný súd Bratislava IV;;;;;Saratovská;1;A;84454;Bratislava 42
39691;01.05.1978;31.12.2013;"00396931; 30230179; 00396095; 00045837; 30776040";;84110;;321;4;20;610;0;999;SK010;SK0104;SK0104529397;1110;;Ústav informácií a prognóz školstva;Ústav informácií a prognóz školstva;Korman;Miroslav;1;;Staré Grunty;;52;84244;Bratislava 4
39837;01.08.1978;24.08.2000;;;;;501;4;27;101;0;999;SK021;SK0214;SK0214507709;9100;;Poľnohospodárske potreby, závod;Poľnohospodárske potreby, závod;;;;;Veľké Kostoľany;539;1;92207;Veľké Kostoľany
39861;01.08.1978;24.08.2000;;;;;501;4;27;101;0;999;SK042;SK042B;SK042B528323;9100;;Poľnohospodárske potreby, závod Dobrá;Poľnohospodárske potreby, závod Dobrá;;;;;p.Biel;;;07641;Biel
45021;01.01.1979;31.08.2003;;;;;331;4;21;610;0;999;SK010;SK0103;SK0103529346;1110;;Ústav preventívnej a klinickej medicíny;Ústav preventívnej a klinickej medicíny;;;;;Limbová;;14;83301;Bratislava 37
45217;01.01.1979;09.08.2000;;;47230;;501;4;26;101;0;999;SK031;SK0315;SK0315510262;9100;;ZDROJ,š.p. Banská Bystrica OZ 09-04;ZDROJ,š.p. Banská Bystrica OZ 09-04;;;;;Kuzmányho;;1137;03129;Liptovský Mikuláš 1
45284;01.01.1979;12.08.1999;;;47230;;501;4;26;101;0;999;SK022;SK0228;SK0228513610;9100;;ZDROJ SSL. PODNIK, ODŠTEPNÝ  ZÁVOD  09-07;ZDROJ SSL. PODNIK, ODŠTEPNÝ  ZÁVOD  09-07;;;;;ČERVENEJ  ARMÁDY;;1279;02031;Púchov 1
45292;01.01.1979;12.08.1999;;;47230;;501;4;26;101;0;999;SK022;SK0227;SK0227513881;9100;;ZDROJ,š.p. Banská Bystrica - OZ 09-08;ZDROJ,š.p. Banská Bystrica - OZ 09-08;;;;;Košovská;;;97138;Prievidza 1
45349;01.01.1979;01.12.1995;;;47230;;501;4;26;101;0;999;SK031;SK031B;SK031B517402;9100;;ZDROJ,š.p.Banská Bystrica - OZ 09-12;ZDROJ,š.p.Banská Bystrica - OZ 09-12;;;;;Cintorínska;;;01128;Žilina 1
45837;01.01.1979;31.12.2007;;;85590;;321;4;20;610;0;999;SK021;SK0214;SK0214507440;1110;;Školské výpočtové stredisko;Školské výpočtové stredisko;Jančík;Jozef;1;;Bernolákova;;14;92169;Piešťany 1
46132;01.01.1979;20.12.2000;;;96010;;301;4;99;101;0;999;SK041;SK0412;SK0412520004;1100;;Komunálne služby š.p. v likvidácii;Komunálne služby š.p. v likvidácii;Kudrík;Ján;;;Mierova;;27;06601;Humenné 1
46141;01.01.1979;10.05.2000;;;96010;;301;4;99;101;0;999;SK041;SK0416;SK0416523381;1100;;OKRESNÝ PODNIK KOMUNÁLNYCH SLUŽIEB, Š. P. v likvidácii;OKRESNÝ PODNIK KOMUNÁLNYCH SLUŽIEB, Š. P. v;Šteczíková;Ľudmila;;;Červenej armády;3312;27;05883;Poprad 1
46337;01.01.1979;31.12.2500;;686832;47110;;301;4;26;101;0;10;SK010;SK0102;SK0102529320;1110;13110;ZDROJ Potraviny - Tabak, Bratislava š.p. v likvidácii;ZDROJ POTRAVINY - TABAK,Ba š.p. v likvidácii;Rózsa;PhDr. Zoltán;71;53;Dohnányho;;16;82005;Bratislava 25
46396;01.01.1979;22.01.2004;;;47110;;301;4;26;101;0;999;SK010;SK0102;SK0102529320;1100;;POTRAVINY Bratislava, š.p. v likvidácii;POTRAVINY Bratislava, š.p. v likvidácii;Trnovský;Ondrej;1;;Prievozská;;6;82735;Bratislava 212
46400;01.01.1979;03.11.1998;;;47230;;301;4;26;101;0;999;SK010;SK0101;SK0101528595;1100;;ZDROJ MÄSO - RYBY, š.p. v likvidácii;ZDROJ MÄSO - RYBY, š.p. v likvidácii;;;;;Laurinská;;12;81564;Bratislava 1
46442;01.01.1979;22.08.2000;;;47230;;501;4;26;101;0;999;SK021;SK0212;SK0212503665;9100;;Západoslovenský ZDROJ, š.p., odštepný závod 08-04;Západoslovenský ZDROJ, š.p., odštepný závod;;;;;29. augusta;;566;92436;Galanta 1
46469;01.01.1979;22.08.2000;;;47110;;501;4;26;101;0;999;SK023;SK0231;SK0231501140;9100;;Západoslovenský ZDROJ, š.p., odštepný závod 08-05;Západoslovenský ZDROJ, š.p., odštepný závod;;;;;Dolnopeterská cesta;;7;94713;Hurbanovo 1
46493;01.01.1979;22.08.2000;;;47230;;501;4;26;101;0;999;SK023;SK0233;SK0233500011;9100;;Západoslovenský ZDROJ, š.p., odštepný závod 08-07;Západoslovenský ZDROJ, š.p., odštepný závod;;;;;Farská;;31;95000;N/A
46566;01.01.1979;22.08.2000;;;47230;;501;4;26;101;0;999;SK023;SK0234;SK0234503011;9100;;Západoslovenský ZDROJ, š.p., odštepný závod 08-08;Západoslovenský ZDROJ, š.p., odštepný závod;;;;;Budovateľská;;5;94019;Nové Zámky 2
46582;01.01.1979;22.08.2000;;;47230;;501;4;26;101;0;999;SK021;SK0215;SK0215504203;9100;;Západoslovenský ZDROJ, š.p., odštepný závod 08-09;Západoslovenský ZDROJ, š.p., odštepný závod;;;;;Dlhá;248;43;90518;Senica 1
46604;01.01.1979;12.08.1999;;;47230;;501;4;26;101;0;999;SK022;SK0225;SK0225543004;9100;;Západoslovenský ZDROJ,š.p., odštepný závod 08-10;Západoslovenský ZDROJ,š.p., odštepný závod 0;;;;;Nupodská cesta;;8;95633;Chynorany
46663;01.01.1979;12.08.1999;;;47230;;501;4;26;101;0;999;SK022;SK0229;SK0229505820;9100;;Západoslovenský ZDROJ, š.p., odštepný závod 08-11;Západoslovenský ZDROJ, š.p., odštepný závod;;;;;Železničná;;3;91170;Trenčín 1
46671;01.01.1979;22.08.2000;;;47230;;501;4;26;101;0;999;SK021;SK0217;SK0217506745;9100;;Západoslovenský ZDROJ, š.p., odštepný závod 08-12;Západoslovenský ZDROJ, š.p., odštepný závod;;;;;Trstínska cesta;;13;91791;Trnava 1
48372;01.03.1985;08.08.2008;;;43290;;301;4;99;101;0;999;SK042;SK0422;SK0422598186;1100;;REMONTA š.p. v likvidácii;REMONTA š.p. v likvidácii;Železník;Pavol;8;;Strojárska;;5;04001;Košice 1
57380;01.01.1975;31.12.2500;;30810710;71200;"26510; 72190; 74900; 85590";301;4;38;101;12;30;SK021;SK0214;SK0214507440;1100;11001;Technický skúšobný ústav Piešťany, š.p.;Technický skúšobný ústav Piešťany, š.p.;Crkoň;Jaroslav;1;;Krajinská cesta;2929;9;92124;Piešťany 1
